"","id","price_day","f_property_type","f_neighbourhood","n_accommodates","n_bathrooms","n_minimum_nights","n_beds","n_review_scores_rating","n_number_of_reviews","n_bedrooms","d_instant_bookable","d_wifi","d_refrigerator","d_air_conditioning","d_baby","d_beach","d_stove","d_free_parking","d_office","d_coffee_maker","d_garden","d_gym"
"9811",671764058296333056,1537,"apartment","Sisli",3,1,3,1,4,1,1,"f","1","1","0","0","0","1","0","0","0","0","0"
"9812",671780333719422976,1070,"rental","Gaziosmanpasa",4,1.5,1,1,4.83,0,1,"f","1","0","0","0","0","0","1","0","0","0","0"
"9813",672160188712705920,4968,"rental","Besiktas",4,3,7,3,5,3,2,"f","1","1","1","0","0","1","1","0","1","0","0"
"9814",672174758958000896,9962,"rental","Kadikoy",3,1.5,84,1,4.5,2,1,"f","1","0","1","0","0","0","0","0","0","0","0"
"9815",672204867687331072,1100,"rental","Beylikduzu",2,1,1,1,4.83,0,1,"t","1","0","1","0","0","0","1","0","0","0","0"
"9816",672213974029927168,720,"rental","Sisli",2,1,15,1,5,2,1,"f","1","1","0","0","0","1","0","0","1","0","0"
"9817",672226182204792576,1179,"rental","Beyoglu",4,2,2,4,4.83,0,2,"t","1","0","0","0","0","0","0","0","0","0","0"
"9818",672239141666023424,786,"rental","Atasehir",3,1,2,1,4,1,1,"f","1","1","0","0","0","1","1","0","1","0","0"
"9819",672347269009503744,900,"rental","Besiktas",2,1,5,1,5,3,1,"t","1","1","1","0","0","1","0","0","0","0","0"
"9820",672437730374737280,4010,"rental","Beyoglu",6,2.5,2,3,5,1,3,"f","1","0","1","0","0","0","0","0","0","0","0"
"9821",672439435454008576,1810,"rental","Kadikoy",4,3,7,3,5,1,2,"f","1","1","1","0","0","0","1","0","0","0","0"
"9822",672448639890237696,2200,"rental","Adalar",3,1.5,2,3,5,4,3,"f","1","1","1","0","1","1","0","0","1","1","0"
"9823",672481837901489280,1651,"rental","Sariyer",4,1,3,1,4.83,0,1,"f","1","1","0","0","0","0","0","0","0","0","0"
"9824",672524295467002624,2582,"rental","Sisli",3,1,7,1,4.83,0,1,"t","1","0","1","0","0","0","0","0","0","0","0"
"9825",672847925725124608,1100,"rental","Zeytinburnu",3,1.5,5,1,5,2,1,"f","1","1","1","0","0","1","1","0","1","1","1"
"9826",672885943239641728,1750,"rental","Gaziosmanpasa",4,1,1,1,4.83,0,1,"t","1","0","1","0","0","0","1","0","0","0","0"
